run_id,timestamp,generation,duration_sec,training_mode,speed_multiplier,collectors_total,collectors_real,collectors_injected,collectors_alive,hunters_total,hunters_alive,batteries_collected,batteries_collected_real,kills,best_collector_fitness,avg_collector_fitness,best_hunter_fitness,avg_hunter_fitness,avg_fit_battery,avg_fit_proximity,avg_fit_survival,avg_fit_hunter_penalty,avg_fit_death,avg_fit_idle,collector_sees_hunter_frames,collector_danger_frames,collector_escape_events,collector_approach_events,collector_neutral_events,escape_ratio,approach_ratio,avg_nearest_hunter_dist
20260510_154241,2026-05-10 15:43:23,0,41.5061,0,1,50,50,0,0,10,10,121,121,15,2227.520926,-2254.173307,1970.661787,1185.903765,242.000000,56.439850,559.422843,0.000000,-3000.000000,-112.036000,2004,8293,3740,4453,0,0.456487,0.543513,134.120525
20260510_154241,2026-05-10 15:44:02,1,39.6987,1,500,51,50,1,0,10,10,128,127,19,2809.552185,-3061.447406,2140.522247,1290.399655,254.000000,52.226330,529.842264,0.000000,-3800.000000,-97.516000,3377,10302,4693,5449,0,0.462729,0.537271,144.145436
20260510_154241,2026-05-10 15:44:07,2,4.1091,1,500,52,50,2,2,10,10,207,196,25,5219.532664,-3740.583394,2112.343833,1426.834248,392.000000,61.908744,726.223862,0.000000,-4800.000000,-120.716000,4181,16900,8372,8299,0,0.502189,0.497811,142.258200
20260510_154241,2026-05-10 15:44:10,3,3.6212,1,500,53,50,3,0,10,10,114,113,17,1817.660632,-2432.155932,1985.918034,1301.344593,226.000000,49.653299,584.998769,0.000000,-3200.000000,-92.808000,3711,13745,6524,7060,0,0.480271,0.519729,136.954022
20260510_154241,2026-05-10 15:44:15,4,4.1872,1,500,54,50,4,1,10,10,139,134,13,5548.037730,-1383.224607,1766.759849,1278.704489,268.000000,57.397278,579.566115,0.000000,-2200.000000,-88.188000,2352,8330,3810,4366,0,0.465998,0.534002,146.252043
20260510_154241,2026-05-10 15:44:19,5,4.3383,1,500,55,50,5,0,10,10,207,179,17,3322.844610,-1750.621761,1850.600652,1493.019415,358.000000,62.928112,709.414127,0.000000,-2800.000000,-80.964000,3288,13714,6308,7191,0,0.467294,0.532706,132.037950
20260510_154241,2026-05-10 15:44:23,6,4.5069,1,500,55,50,5,3,10,10,189,166,16,3590.504867,-1580.917048,2001.643997,1460.707865,332.000000,59.345307,726.709645,0.000000,-2600.000000,-98.972000,3731,13186,6171,6820,0,0.475021,0.524979,135.058468
20260510_154241,2026-05-10 15:44:27,7,3.7404,1,500,55,50,5,1,10,10,101,79,27,2278.837568,-4037.293973,2828.232412,1733.782082,158.000000,47.773047,641.244979,0.000000,-4800.000000,-84.312000,3777,15409,7114,8089,0,0.467934,0.532066,139.882423
20260510_154241,2026-05-10 15:44:31,8,3.7550,1,500,55,50,5,1,10,10,127,98,23,2432.149397,-3561.596464,2541.567729,1487.791790,196.000000,46.277191,470.582345,0.000000,-4200.000000,-74.456000,3213,9565,4305,5100,0,0.457735,0.542265,142.252865
20260510_154241,2026-05-10 15:44:35,9,4.2742,1,500,55,50,5,2,10,10,158,146,21,3567.117769,-2900.900757,1891.236381,1506.326689,292.000000,59.335005,650.516238,0.000000,-3800.000000,-102.752000,3530,13717,6375,7170,0,0.470653,0.529347,132.570466
20260510_154241,2026-05-10 15:44:39,10,4.0350,1,500,55,50,5,1,10,10,202,197,28,3394.939834,-4009.330953,2664.054467,1651.684584,394.000000,61.845652,624.883395,0.000000,-5000.000000,-90.060000,3190,11617,5223,6220,0,0.456436,0.543564,141.619534
